Identifier,Edition Statement,Place of Publication,Date of Publication,Publisher,Title,Author,Contributors,Issuance type,Flickr URL,Shelfmarks
94892,,London,1827,"Smith, Elder & Co.",Chronicles of London Bridge: by an Antiquary [i.e. Richard Thomson]. [With illustrations.],,"THOMSON, Richard - Librarian of the London Institution",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094892,British Library HMNTS 796.g.28.
94906,,London,1813,W. Pople,The Modern Antique: or the Muse in the costume of Queen Anne. [By Isaac Gompertz.],,"GOMPERTZ, Isaac.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094906,British Library HMNTS 11642.f.40.(2.)
98625,,London,1787,S. Bladon,"Apollo turn'd Stroller; or, Thereby hangs a Tale. A musical pasticcio in two parts, etc. [By Sir John Oldmixon.]",,"OLDMIXON, John - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000098625,British Library HMNTS 643.e.16.(4.)|British Library HMNTS 11779.c.88.(13.)|British Library HMNTS 161.d.49.
99576,,London,1794,J. Barker,"Songs, Choruses, &c. in The Apparition! A musical dramatic romance, in two acts [by J. C. Cross], etc",,"CROSS, John C. - Dramatist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099576,British Library HMNTS 643.f.2.(4.)
99578,,London,1710,The Booksellers,The Appartion [sic]. A poem. [By Abel Evans. A satire on Matthew Tindal's “The Rights of the Christian Church asserted.”],,"EVANS, Abel.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099578,British Library HMNTS 11642.bb.58.
99583,,London,1846,Edward Lloyd,"The Apparition, a romance",,"RYMER, James Malcolm.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099583,British Library HMNTS 12621.g.10.|British Library HMNTS C.140.e.30.(3.)
99710,,London,1785,G. G. J. & J. Robinson,"Appearance is against them; a farce in two acts, etc. [By Elizabeth Inchbald.]",,Inchbald - Mrs,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099710,British Library HMNTS 643.e.14.(4.)|British Library HMNTS 161.d.50.
100850,,London,1868,Newsagents’ Publishing Co.,"The Young Apprentice; or, the Watch-words of old London. [By V. I. Saint John.] With ... engravings, etc",,"SAINT JOHN, Vane Ireton.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000100850,British Library HMNTS 12620.h.28.
101009,,London,1777,G. Kearsly,"April-Day, a burletta, in three acts. [In verse.] Written by the author of Midas [i.e. Kane O'Hara]",,"O'HARA, Kane.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101009,British Library HMNTS 643.e.6.(11.)|British Library HMNTS 161.d.51.
101363,Third edition.,London,1801,J. Wright,[Cupid & Psyche. A mythological tale from the Golden Ass of Apuleius. [In verse. By Hudson Gurney.]]: Asinus Aureus. Selections. English,Apuleius.,"GURNEY, Hudson.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101363,British Library HMNTS 11643.n.2.
103149,,London,1893,"Eden, Remington & Co.","The Land of Ararat; or, Up the Roof of the World. By a special correspondent [i.e. Alexander Macdonald]",,"MACDONALD, Alexander - War Correspondent",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103149,British Library HMNTS 10077.bbb.21.
103877,,London,,E. Arber; A. Constable & Co.,An English Garner. Ingatherings from our history and literature,"ARBER, Edward.","POLLARD, Alfred William - C.B., Keeper of Printed Books, British Museum",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103877,British Library HMNTS 12269.cc.12.|British Library HMNTS 12268.e.1.
106294,,London,1851,Francis & John Rivington,"Papers and Despatches relating to the Arctic Searching Expeditions of 1850-51. Together with a few remarks as to the probable course pursued by Sir John Franklin, etc. [Compiled by James Mangles. With maps.]",,"MANGLES, James.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106294,British Library HMNTS 10460.e.12.
106624,,London,1887,J. W. Jarvis & Son,"Arden of Feversham, a tragedy: reprinted from the edition of 1592. With an introduction by A. H. Bullen","ARDEN, Thomas - of Faversham","BULLEN, Arthur Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106624,British Library HMNTS 11770.g.8.
107921,,London,1824,John Booth,"The Count Arezzi, a tragedy, in five acts. [By Robert Eyres Landor. In verse.]",,"LANDOR, Robert Eyres.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107921,British Library HMNTS 11779.f.8.
109429,,London,1823,The Author,The Queen of Argos; a tragedy: in five acts. [In verse. By William B. Bell.],,"BELL, William Boscawen.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109429,British Library HMNTS 643.f.24.(4.)
111406,,London,1651,,"Πλουτοφθαλμια πλουτογαμια. A pleasant comedie, entituled Hey for Honesty, Down with Knavery. Translated out of Aristophanes his Plutus, by Tho: Randolph. Augmented and published by F. J. [i.e. F. Jaques or Jacques?]: Single Works. Plutus. English",,"J., F.|JAQUES, F.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111406,British Library HMNTS 643.d.83.|British Library HMNTS 163.h.24.
111669,,London,1809,The Translator,"The History of Animals of Aristotle, and his Treatise on Physiognomy, translated from the Greek. By Thomas Taylor: Two or more Works. English",Aristotle.,"TAYLOR, Thomas - the Platonist",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111669,British Library HMNTS 520.l.5.
115066,,London,1890,Methuen & Co.,"Arminell. A social romance. By the author of “Mehalah,” etc. [i.e. S. Baring Gould]",,"Baring-Gould, S. (Sabine)",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000115066,British Library HMNTS 012639.l.10.
116525,,London,1853,Richard Bentley,Nelly Armstrong: a story of the day. By the author of “Rose Douglas” [i.e. S. R. Whitehead],"ARMSTRONG, Nelly.","WHITEHEAD, Sarah R.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000116525,British Library HMNTS 12627.b.9.
117760,,London,1817,Samuel Leigh,Germanicus ... Translated ... into blank verse by George Bernel ... To which is prefixed an historical account of Germanicus,"ARNAULT, Antoine Vincent.","BERNEL, George.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000117760,British Library HMNTS 643.f.19.(3.)
119124,,London,1896,Longmans & Co.,East and West. Being papers reprinted from the “Daily Telegraph” and other sources ... With ... illustrations by R. T. Pritchett,"Arnold, Edwin - Sir","PRITCHETT, Robert Taylor - K.C.I.E",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119124,British Library HMNTS 010057.g.3.
119421,,London,,Provost & Co.,Village Lyrics. By Henrietta and Charlotte Arnold,"ARNOLD, Henrietta.","ARNOLD, Charlotte.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119421,British Library HMNTS 11652.bbb.20.
119498,,London,1852,R. Lloyd,"Jessie Arnold; or, the Murder at the Old Well. A romance. By the author of “The Black Mantle,” [i.e. J. M. Rymer] etc","ARNOLD, Jessie.","RYMER, James Malcolm.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119498,British Library HMNTS 12624.f.10.|British Library HMNTS C.140.b.33.
119514,,London,1862,Hurst & Blackett,"John Arnold. [A novel.] By the author of “Mathew Paxton,” etc. [i.e. William Wilson, Minister at Etal.]","ARNOLD, John.","WILSON, William - Minister at Etal",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119514,British Library HMNTS 12635.cc.1.
119572,,London,1882,Tinsley Bros.,Palms and Temples. Being notes of a four months' voyage upon the Nile ... With a preface by Edwin Arnold,"ARNOLD, Julian Tregenna Biddulph.","Arnold, Edwin - Sir",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119572,British Library HMNTS 10095.f.1.
119589,,London,1850,Henry Colburn,"Lettice Arnold. A tale. By the author of “Emilia Wyndham,” etc. [i.e. Anne Marsh.]","ARNOLD, Lettice.","MARSH, afterwards MARSH-CALDWELL, Anne.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119589,British Library HMNTS 12624.a.7.
119831,,London,1883,"Smith, Elder & Co.",The Matthew Arnold Birthday-Book. [Extracts from Arnold's poems.] Arranged by his daughter Eleanor Arnold. With a portrait: Selections,"Arnold, Matthew","ARNOLD, Eleanor - afterwards WODEHOUSE (Eleanor) Hon. Mrs. Armine Wodehouse, afterwards MANSFIELD (Eleanor) Baroness Sandhurst",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119831,British Library HMNTS 11612.f.5.
120150,,London,1845,"B. Fellowes, etc.","History of the later Roman Commonwealth, from the end of the Second Punic War to the death of Julius Cæsar; and of the reign of Augustus: with a life of Trajan ... Republished from “The Encyclopædia Metropolitana.” [With a preface by Bonamy Price.]","ARNOLD, Thomas - D.D., Headmaster of Rugby School","PRICE, Bonamy.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000120150,British Library HMNTS 1307.g.10.|British Library HMNTS 1307.g.11.
122224,Another edition. Now corrected and enlarged.,London,1812,J. Davis,"[Arrian's History of Alexander's Expedition. Translated from the Greek. With notes, historical, geographical, and critical by Mr. Rooke ... To which is prefix'd, Mr. Le Clerc's Criticism upon Quintus Curtius. And some remarks upon Mr. Perizonius's Vindication of that author. (Arrian's Indian History.)]: Single Works. Anabasis. English","ARRIANUS, Flavius.","ROOKE, John - Translator",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122224,British Library HMNTS 1309.e.3.(2.)
122225,,London,1813,J. Davis,Arrian's History of the Expedition of Alexander the Great ... Translated ... by Mr. Rooke and now corrected and enlarged ... The second edition: Single Works. Anabasis. English,"ARRIANUS, Flavius.","ROOKE, John - Translator",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122225,British Library HMNTS 9027.c.17.
122226,,London,1884,Hodder & Stoughton,"The Anabasis of Alexander ... Literally translated, with a commentary ... by E. J. Chinnock: Single Works. Anabasis. English","ARRIANUS, Flavius.","CHINNOCK, Edward James.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122226,British Library HMNTS 9026.ff.18.
122610,,London,1868,C. Whiting,Seven-Stones Light-Ship. Correspondence between Captain F. Arrow ... and Mr. Augustus Smith,"ARROW, Frederick - Sir","SMITH, Augustus John.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122610,British Library HMNTS 10497.e.51.(1.)
122645,"A new and improved edition, by the Rev. C. G. Nicolay.",London,1856,E. P. Williams,[A Compendium of Ancient and Modern Geography ... New and improved edition.],"ARROWSMITH, Aron - the Younger","NICOLAY, Charles Grenfell.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122645,British Library HMNTS 10005.d.4.
123451,,London,1744,A. Millar,The Art of Preserving Health: a poem. [By John Armstrong.],,"ARMSTRONG, John - Physician and Poet",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123451,British Library HMNTS 11630.c.5.(9.)|British Library HMNTS 11642.h.43.(4.)|British Library HMNTS 840.l.2.(1.)|British Library HMNTS 1485.ff.8.
123464,,London,1728,J. Roberts,"A Supplement to the Profund. Containing several examples, very proper to illustrate the rules laid down in a late treatise, called The Art of Sinking in Poetry [i.e. “Περι Βαθους: or, Martin Scriblerus his Treatise of the Art of Sinking in Poetry,” written by Pope, and published in the “last volume” of the “Miscellanies in Prose and Verse” edited jointly by Swift and Pope]. Extracted from the poetical works of the ingenious authors of that accurate piece ... In two letters to a friend. [By Matthew Concanen, the elder.]",,"CONCANEN, Matthew - the Elder",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123464,British Library HMNTS 1077.h.60.(1.)|British Library HMNTS C.116.b.2.(4.)
124015,,London,1876,Chapman & Hall,"Arthur; or, a Knight of our own Day. By the author of “Alice Godolphin” [i.e. Mary Neville]",,"NEVILLE, Mary.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124015,British Library HMNTS 12637.aaa.18.
124018,,London,1818,Payne & Foss,"Arthur; or, the Pastor of the Village; a poem. [By John Leonard Knapp.]",,"KNAPP, John Leonard.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124018,British Library HMNTS 992.i.17.(7.)
124034,,London,1886,Macmillan & Co.,"King Arthur. Not a Love Story. By the author of “John Halifax, Gentleman” [i.e. D. M. Mulock, afterwards Craik]",,"Craik, Dinah Maria Mulock",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124034,British Library HMNTS 12623.ee.24.
124229,,London,1885,Funk & Wagnalls,The New King Arthur. An opera without music. By the author of “The Buntling Ball” [i.e. Edgar Fawcett]: Appendix,,"FAWCETT, Edgar.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124229,British Library HMNTS 11781.e.52.
124578,Memorial edition ... revised by J. W. Kirkton.,London,,"Ward, Lock & Co.","[Ten Nights in a Bar-Room, and what I saw there.]","ARTHUR, Timothy Shay.","KIRTON, John William.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124578,British Library HMNTS 12637.a.2.|British Library HMNTS 12625.g.37.
124931,,London,1864,Hurst & Blackett,"A Young Artist's Life. [By Alexander D. R. W. C. B. Cochrane, Baron Lamington.]",,"COCHRANE, Alexander Dundas Ross - afterwards COCHRANE-WISHART-BAILLIE (Alexander Dundas Ross) Baron Lamington",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124931,British Library HMNTS 12631.bb.13.
126091,,London,1856,W. H. Collingridge,"Asaph; or, Faith's conflict with infidelity. [A poem. By Elizabeth Warren.]",,"WARREN, Elizabeth - Miss",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000126091,British Library HMNTS 11645.h.14.
126092,,London,1822,"Ogle, Duncan & Co.","Asaph; or the Herrnhuttens; being a rhythmical sketch of the principal events, and most remarkable institutions in the modern history of the Church of the Unitas Fratrum, commonly called Moravians ... By one of its members [i.e. M. A. Schimmelpenninck]",,"SCHIMMELPENNINCK, Mary Anne - Mrs",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000126092,British Library HMNTS 994.l.38.
127459,,London,1830,Payne & Foss; Baldwin & Cradock,"A Narrative by John Ashburnham of his attendance on King Charles the First from Oxford to the Scotch Army, and from Hampton-Court to the Isle of Wight: never before printed. To which is prefixed a vindication of his character and conduct, from the misrepresentations of Lord Clarendon, by his lineal descendant and present representative [i.e. George, Earl of Ashburnham]. [Edited by George, Earl of Ashburnham.]","ASHBURNHAM, John - Groom of the Bedchamber to Charles I","ASHBURNHAM, George - Earl of Ashburnham",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000127459,British Library HMNTS 601.b.3.|British Library HMNTS G.5179.
127777,,London,1893,Elliot Stock,"St. Albans, historical & picturesque. With an account of the Roman city of Verulamium ... Illustrated by Frederic G. Kitton","ASHDOWN, Charles Henry.","KITTON, Frederic George.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000127777,British Library HMNTS 10368.s.1.
128110,,London,,Hurst & Blackett,"Mr. and Mrs. Asheton. By the author of “Margaret and her Bridesmaids,” etc. [i.e. Julia Cecilia Stretton.]",,"DE WINTON, afterwards STRETTON, Julia Cecilia.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000128110,British Library HMNTS 12634.e.2.
128995,,London,,C. Letts & Co.,"Charles Letts's Date Book and Chronological Diary, or record of important events in English history, etc","ASHTON, John - Antiquary","LETTS, Charles J.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000128995,British Library HMNTS 09504.g.3.|British Library HMNTS 09504.g.5.
130629,,London,1881,J. & R. Maxwell,"Asphodel. A novel. By the author of “Lady Audley's Secret” [i.e. M. E. Braddon], etc",,"Braddon, M. E. (Mary Elizabeth)",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130629,British Library HMNTS 12640.bbb.9.
130655,,London,1805,Didier & Tebbet,"The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the ... history of the several kingdoms ... comprised in that quarter of the world, adapted to the capacities of children ... Illustrated by a ... map ... on which is described the chronological succession of the sovereigns of the various countries ... by M. Wauthier","Aspin, Jehoshaphat","WAUTHIER, J. M.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130655,British Library HMNTS 10004.d.7.
130656,"Second edition, with ... additions, etc.",London,1806,Didier & Tebbett,"[The Geo-chronolgy of Europe; or, an Epitome of the geography and chronology, with the ... history of the several kingdoms ... comprised in that quarter of the world, adapted to the capacities of children ... Illustrated by a ... map ... on which is described the chronological succession of the sovereigns of the various countries ... by M. Wauthier.]","Aspin, Jehoshaphat","WAUTHIER, J. M.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130656,British Library HMNTS 1426.d.18.
131442,,London,1831,Edward Bull,"The Assassins of the Paradise, an Oriental tale, in four cantos. By the author of Abbassah [i.e. B. E. Pote]",,"POTE, B. E.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131442,British Library HMNTS 993.h.2.|British Library HMNTS 11642.ee.13.
132894,,London,1872,,"Aston-Royal. By the author of “St. Olave's,” etc. [i.e. Eliza Tabor, afterwards Stephenson]",,"TABOR, afterwards STEPHENSON, Eliza.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132894,British Library HMNTS 12629.k.5.
133253,,London,1744,M. Cooper,The astrologer; a comedy. [By James Ralph.],,"RALPH, James - Miscellaneous Writer",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133253,British Library HMNTS 642.h.28.(3.)|British Library HMNTS 161.c.4.
133409,,London,1898,C. A. Pearson,With Peary near the Pole ... Translated ... by H. J. Bull. [With maps.],"ASTRUP, Eivind.","BULL, Henrik Johan.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133409,British Library HMNTS 10460.d.25.
133917,,London,1876,Longmans & Co.,"The Atelier du Lys; or, an Art Student in the Reign of Terror. By the author of “Mademoiselle Mori” [i.e. Margaret Roberts]",,"Roberts, Margaret",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133917,British Library HMNTS 12628.d.1.
133918,Another edition.,London,,Longmans & Co.,"[The Atelier du Lys; or, an Art Student in the Reign of Terror. By the author of “Mademoiselle Mori” [i.e. Margaret Roberts].]",,"Roberts, Margaret",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133918,British Library HMNTS 12638.m.19.
133978,,London,1836,John Hearne,"A Brief Account of the Researches and Discoveries in Upper Egypt, made under the direction of Henry Salt, Esq. ... To which is added, a detailed catalogue of Mr. Salt's collection of Egyptian antiquities, illustrated with twelve engravings ... and an enumeration of those articles purchased for the British Museum","ATHANASI, Giovanni d'.","SALT, Henry.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133978,British Library HMNTS 790.f.26.
134300,,London,1756,L. Davis & C. Reymers,"Athelstan. A tragedy. [In verse. By John Brown, D.D., Vicar of Newcastle-upon-Tyne. The epilogue by David Garrick.]",,"BROWN, John - Vicar of Newcastle-upon-Tyne|GARRICK, David.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000134300,British Library HMNTS 643.g.6.(10.)|British Library HMNTS 95.i.21.(3.)
134835,,London,1812,"White, Cochrane & Co.; William Miller","A Letter from Athens, addressed to a friend in England. [In verse. By C. Kelsale. With plates.]: Appendix",,"KELSALL, Charles.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000134835,British Library HMNTS 11641.i.1.
134862,,London,1888,Elliot Stock,The Dramatic Works of E. Atherstone ... Edited by ... Mary E. Atherstone,"ATHERSTONE, Edwin.","ATHERSTONE, Mary Elizabeth.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000134862,British Library HMNTS 11781.f.56.
134968,,London,1861,"Saunders, Otley & Co.","Adrift: or, the Rock in the South Atlantic. A faithful narrative, written from the diary of Harper Atherton, surgeon. Edited by Frank Fowler [or rather, written by him]","ATHERTON, Harper.","FOWLER, Frank.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000134968,British Library HMNTS 12632.dd.3.
139282,,London,1843,Alfred Greenland,"Professional Excursions, by an Auctioneer [i.e. Wolley Simpson, sometimes identified as G. Robins]. Part 1. Essex, Suffolk, Hertfordshire, Surrey, Sussex and Kent",,"SIMPSON, Wolley.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000139282,British Library HMNTS 1430.d.17.
141476,,London,1835,Richard Bentley,"The Career of Don Carlos, since the death of Ferdinand the Seventh: being a chapter in the history of Charles the Fifth","AUGET DE SAINT-SYLVAIN, Louis Xavier - Baron de Los Valles","MERLE, Jean Toussaint.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000141476,British Library HMNTS 1060.g.20.
142998,,London,1878,Sampson Low & Co.,Auld Lang Syne. By the author of “The Wreck of the 'Grosvenor”' [i.e. William Clark Russell],,"RUSSELL, William Clark.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000142998,British Library HMNTS 12641.ee.5.
144509,Another edition. Illustrated by Hugh Thomson. With an introduction by Austin Dobson.,London,1896,Macmillan & Co.,[Emma. New edition.]: Single Works,"Austen, Jane","DOBSON, Henry Austin.|THOMSON, Hugh.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144509,British Library HMNTS 012621.h.27.
144558,Another edition. Illustrated by Hugh Thomson. With an introduction by Austin Dobson.,London,1897,Macmillan & Co.,[Mansfield Park: a novel.]: Single Works,"Austen, Jane","DOBSON, Henry Austin.|THOMSON, Hugh.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144558,British Library HMNTS 012621.h.38.
144597,,London,1897,Macmillan & Co.,Northanger Abbey and Persuasion ... With illustrations by Hugh Thomson and an introduction by Austin Dobson: Single Works,"Austen, Jane","Dobson, Austin|THOMSON, Hugh.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144597,British Library HMNTS 012624.ee.28.
147715,,London,1842,"Smith, Elder & Co.","Western Australia, containing a statement of the condition and prospects of that colony, and some account of the Western Australian Company's Settlement of Australind. With a map, etc. [By Alfred Gill.]: Appendix",,"GILL, Alfred.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147715,British Library HMNTS 1304.k.16.
147808,,London,1823,"Smith, Elder & Co.","Hints from the Journal of an Australian Squatter, late in the service of the Hon. East India Company. Compiled for the use of emigrants; and edited, with an introduction and appendix, by Alfred Caswall",,"Caswall, Alfred.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147808,British Library HMNTS 1431.d.16.
150264,,London,1827,John Murray,"Two Years in Ava, from May 1824 to May 1826. By an Officer on the Staff of the Quarter-Master General's Department [i.e. Thomas Abercromby Trant. With maps]",,"TRANT, Thomas Abercromby.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000150264,British Library HMNTS 1046.c.9.|British Library OC T 10475|British Library OC V 1788
152291,,London,1853,"Smith, Elder & Co.","Avillion, and other tales. By the author of “Olive,” etc. [i.e. Dinah M. Mulock, afterwards Craik]",,"Craik, Dinah Maria Mulock",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000152291,British Library HMNTS 12627.e.11.
152579,,London,1792,J. Johnson; R. Faulder,L'Avocat du diable: the Devil's Advocate; or Satan versus Pictor. Tried before the Court of uncommon pleas. [In verse. By Alexander Geddes.],,"GEDDES, Alexander.",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000152579,British Library HMNTS 11641.h.11.(5.)
156291,,London,1868,Whittaker & Co.,Edwy and Elgiva: a romance of the olden time. By B........ and A,,"EDWY, King of England",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156291,British Library HMNTS 12621.h.2.
156352,,London,,,"The County Magistrate. A novel. By Lord B****** [i.e. F. R. Chichester, Earl of Belfast]",,"CHICHESTER, Frederick Richard - Earl of Belfast",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156352,British Library HMNTS 12629.c.1.
156353,,London,1852,T. C. Newby,"The Farce of Life. A novel. By Lord B******* [i.e. F. R. Chichester, Ear of Belfast]",,"CHICHESTER, Frederick Richard - Earl of Belfast",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156353,British Library HMNTS 12625.d.1.
156354,,London,1859,T. C. Newby,"The Fate of Folly ... By Lord B******* [i.e. F. R. Chichester, Earl of Belfast]",,"CHICHESTER, Frederick Richard - Earl of Belfast",monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156354,British Library HMNTS 12635.b.2.
